id_producto,nombre,cantidad_disponible,cantidad_vendidos,estado,precio,categoria,talla,tipo,color,material
1,Pantalón Casual,100,20,disponible,29.99,Ropa,M,lona,azul,
2,Blusa Elegante,75,15,disponible,49.99,Ropa,S,rojo,
3,Collar de Oro,10,5,disponible,149.99,Joyas,única,,oro
4,Pantalón Deportivo,50,10,disponible,34.99,Ropa,L,jogger,verde,
5,Blusa Casual,60,8,disponible,39.99,Ropa,M,azul,
6,Collar de Plata,20,4,disponible,69.99,Joyas,única,,plata
7,Pantalón Skinny,45,12,disponible,39.99,Ropa,S,lona,negro,
8,Blusa Estampada,55,18,disponible,44.99,Ropa,L,verde,
9,Collar de Bronce,15,6,disponible,59.99,Joyas,única,,bronce
10,Pantalón Jogger,30,7,disponible,29.99,Ropa,M,jogger,gris,
11,Blusa a Rayas,70,15,disponible,39.99,Ropa,S,rojo,
13,Pantalón Lona,90,20,disponible,27.99,Ropa,S,lona,azul,
14,Blusa Elegante,80,18,disponible,49.99,Ropa,M,blanco,
15,Collar de Oro,5,2,disponible,199.99,Joyas,única,,oro
16,Pantalón Skinny,60,10,disponible,39.99,Ropa,L,lona,negro,
17,Blusa Casual,40,9,disponible,34.99,Ropa,S,azul,
19,Pantalón Deportivo,70,15,disponible,29.99,Ropa,M,jogger,verde,
20,Blusa Estampada,45,12,disponible,44.99,Ropa,L,estampado,
21,Collar de Bronce,10,4,disponible,59.99,Joyas,única,,bronce
22,Pantalón Jogger,50,8,disponible,29.99,Ropa,S,jogger,gris,
23,Blusa a Rayas,35,5,disponible,39.99,Ropa,M,rayas,
24,Collar de Oro,8,3,disponible,149.99,Joyas,única,,oro
25,Pantalón Lona,55,10,disponible,27.99,Ropa,L,lona,negro,
26,Blusa Elegante,25,5,disponible,49.99,Ropa,S,negro,
28,Pantalón Skinny,40,12,disponible,39.99,Ropa,M,lona,rojo,
29,Blusa Casual,70,20,disponible,39.99,Ropa,S,blanco,
30,Collar de Oro,12,4,disponible,199.99,Joyas,única,,oro
31,Pantalón Deportivo,30,10,disponible,34.99,Ropa,L,deportivo,azul,
32,Blusa Estampada,50,15,disponible,44.99,Ropa,M,estampado,
33,Collar de Bronce,18,6,disponible,59.99,Joyas,única,,bronce
34,Pantalón Jogger,25,8,disponible,29.99,Ropa,S,jogger,negro,
35,Blusa a Rayas,40,10,disponible,39.99,Ropa,L,rayas,
37,Pantalón Lona,15,3,disponible,27.99,Ropa,M,lona,verde,
38,Blusa Elegante,30,6,disponible,49.99,Ropa,S,rojo,
39,Collar de Oro,7,2,disponible,149.99,Joyas,única,,oro
40,Pantalón Skinny,80,20,disponible,39.99,Ropa,L,lona,gris,
41,Blusa Casual,90,18,disponible,34.99,Ropa,S,azul,
